Title,ToTal Gross,Release Date,Distributor
Barbie,594254460,7/21/23,WarnerBros.
TheSuperMarioBros.Movie,574759600,4/5/23,UniversalPictures
Spider-Man:AcrosstheSpider-Verse,381178195,6/2/23,ColumbiaPictures
GuardiansoftheGalaxyVol.3,358995815,5/5/23,WaltDisneyStudiosMotionPictures
Oppenheimer,300144670,7/21/23,UniversalPictures
TheLittleMermaid,297895447,5/26/23,WaltDisneyStudiosMotionPictures
Avatar:TheWayofWater,684075767,12/16/23,20thCenturyStudios
Ant-ManandtheWasp:Quantumania,214504909,2/17/23,WaltDisneyStudiosMotionPictures
JohnWick:Chapter4,187131806,3/24/23,Lionsgate
SoundofFreedom,180587629,7/4/23,AngelStudios
IndianaJonesandtheDialofDestiny,174116627,6/30/23,WaltDisneyStudiosMotionPictures
Mission:Impossible-DeadReckoningPartOne,168248955,7/12/23,ParamountPictures
Transformers:RiseoftheBeasts,157066392,6/9/23,ParamountPictures
CreedIII,156248615,3/3/23,UnitedArtistsReleasing
Elemental,151692473,6/16/23,WaltDisneyStudiosMotionPictures
FastX,145960660,5/19/23,UniversalPictures
PussinBoots:TheLastWish,185535345,12/21/23,UniversalPictures
ScreamVI,108161389,3/10/23,ParamountPictures
TheFlash,108133313,6/16/23,WarnerBros.
TeenageMutantNinjaTurtles:MutantMayhem,99847538,8/2/23,ParamountPictures
M3GAN,95043350,1/6/23,UniversalPictures
Dungeons&Dragons:HonorAmongThieves,93277026,3/31/23,ParamountPictures
Insidious:TheRedDoor,82042800,7/7/23,ScreenGems
Meg2:TheTrench,74469810,8/4/23,WarnerBros.
EvilDeadRise,67233054,4/21/23,WarnerBros.
CocaineBear,64388510,2/24/23,UniversalPictures
AManCalledOtto,64267657,12/30/23,ColumbiaPictures
HauntedMansion,62291150,7/28/23,WaltDisneyStudiosMotionPictures
Shazam!FuryoftheGods,57638006,3/17/23,WarnerBros.
Air,52460106,4/5/23,'-
JesusRevolution,52102987,2/24/23,Lionsgate
NoHardFeelings,50452282,6/23/23,SonyPicturesEntertainment(SPE)
BlueBeetle,46566539,8/18/23,WarnerBros.
TheBoogeyman,43244282,6/2/23,WaltDisneyStudiosMotionPictures
TalktoMe,41066389,7/28/23,A24
80forBrady,39330588,2/3/23,ParamountPictures
KnockattheCabin,35397980,2/3/23,UniversalPictures
Missing,32502025,1/20/23,SonyPicturesEntertainment(SPE)
Plane,32111181,1/13/23,Lionsgate
65,32062904,3/10/23,SonyPicturesEntertainment(SPE)
AsteroidCity,28049165,6/16/23,FocusFeatures
MagicMike'sLastDance,26005156,2/10/23,WarnerBros.
AreYouThereGod?It'sMeMargaret.,20372406,4/28/23,Lionsgate
ThePope'sExorcist,20009380,4/14/23,ScreenGems
GranTurismo,18541753,8/25/23,SonyPicturesEntertainment(SPE)
TheBlackening,17707207,6/16/23,Lionsgate
BookClub:TheNextChapter,17556340,5/12/23,FocusFeatures
Pathaan,17487476,1/25/23,YashRajFilmsUSAInc.
BlackPanther:WakandaForever,453829060,11/11/23,WaltDisneyStudiosMotionPictures
Renfield,17152625,4/14/23,UniversalPictures
TheCovenant,16938039,4/21/23,Metro-Goldwyn-Mayer(MGM)
Strays,16840900,8/18/23,UniversalPictures
Champions,16271910,3/10/23,FocusFeatures
RubyGillmanTeenageKraken,15753600,6/30/23,DreamWorks
Titanic25YearAnniversary,15033795,2/10/23,ParamountPictures
TheLastVoyageoftheDemeter,13309285,8/11/23,UniversalPictures
JoyRide,12897789,7/7/23,Lionsgate
TheWhale,17463630,12/9/23,A24
AboutMyFather,12089391,5/26/23,Lionsgate
HisOnlySon,12084084,3/31/23,AngelStudios
Suzume,10760901,4/14/23,Crunchyroll
PastLives,10724951,6/2/23,A24
TheMachine,10458331,5/26/23,SonyPicturesEntertainment(SPE)
WhitneyHouston:IWannaDancewithSomebody,23708080,12/23/23,TriStarPictures
DemonSlayer:KimetsuNoYaiba-TotheSwordsmithVillage,10117806,3/3/23,Crunchyroll
HouseParty,9002247,1/13/23,WarnerBros.
EverythingEverywhereAllatOnce,77191785,3/25/23,A24
BeauIsAfraid,8176562,4/14/23,A24
Sisu,7265622,4/28/23,Lionsgate
StarWars:EpisodeVI-ReturnoftheJedi2023Re-release,7259924,4/28/23,'-
OperationFortune:RusedeGuerre,6496125,3/3/23,Lionsgate
BTS:YettoComeinCinemas,8093270,2/1/23,TrafalgarReleasing
Babylon,15351455,12/23/23,ParamountPictures
LoveAgain,6230837,5/5/23,ScreenGems
TheFabelmans,17348945,11/11/23,UniversalPictures
TheChosenSeason3Finale,5525069,2/2/23,FathomEvents
Nefarious,5433685,4/14/23,SoliDeoGloriaReleasing
BigGeorgeForeman,5426772,4/28/23,SonyPicturesEntertainment(SPE)
WomenTalking,5456531,12/23/23,UnitedArtistsReleasing
InfinityPool,5078400,1/27/23,Neon
YouHurtMyFeelings,4830788,5/26/23,A24
Kandahar,4813132,5/26/23,OpenRoadFilms(II)
Hypnotic,4500169,5/12/23,KetchupEntertainment
Marlowe,4350243,2/15/23,OpenRoadFilms(II)
TheAmazingMaurice,4303645,2/3/23,VivaPictures
Mummies,4275970,2/24/23,WarnerBros.
Retribution,3821285,8/25/23,RoadsideAttractions
PonniyinSelvan:PartTwo,3813000,4/28/23,'-
LeftBehind:RiseoftheAntichrist,3649422,1/26/23,FathomEvents
TheaterCamp,3644801,7/14/23,SearchlightPictures
TheJourney:AMusicSpecialfromAndreaBocelli,3574915,4/2/23,FathomEvents
Chevalier,3541159,4/21/23,WaltDisneyStudiosMotionPictures
MafiaMamma,3496761,4/14/23,BleeckerStreetMedia
TheWanderingEarthII,5023132,1/22/23,WellGoUSAEntertainment
AThousandandOne,3400020,3/31/23,FocusFeatures
ViolentNight,50057405,12/2/23,UniversalPictures
2023OscarNominatedShortFilms:LiveAction,3025631,2/17/23,ShortsTV
Living,3038113,12/23/23,SonyPicturesClassics
TheMenu,38501125,11/18/23,SearchlightPictures
TheHill,2515612,8/25/23,BriarcliffEntertainment
TuJhoothiMainMakkaar,2503604,3/8/23,YashRajFilmsUSAInc.
ComeOutinJesusName,2500574,3/13/23,FathomEvents
AGoodPerson,2210465,3/24/23,UnitedArtistsReleasing
MovingOn,2136832,3/17/23,RoadsideAttractions
TheMiracleClub,2104152,7/14/23,SonyPicturesEntertainment(SPE)
Skinamarink,2052272,1/13/23,IFCFilms
JurassicPark2023Re-release(30thAnniversary),1864240,8/25/23,UniversalPictures
Golda,1856809,8/25/23,BleeckerStreetMedia
SomewhereinQueens,1802442,4/21/23,RoadsideAttractions
Jules,1775876,8/11/23,BleeckerStreetMedia
WinniethePooh:BloodandHoney,1750639,2/15/23,FathomEvents
Fear,2090261,1/27/23,HiddenEmpireFilmGroup(HEFG)
LostintheStars,1721446,7/7/23,CMCPictures
ThatTimeIGotReincarnatedasaSlimetheMovie:ScarletBond,1588491,1/20/23,Crunchyroll
TheBansheesofInisherin,10582266,10/21/23,SearchlightPictures
PoliteSociety,1545600,4/28/23,FocusFeatures
TheQuietGirl,1500014,2/24/23,Neon
BlackBerry,1476597,5/12/23,IFCFilms
SpiritedAway2023Re-release(LiveonStage),1455081,4/23/23,FathomEvents
Oldboy2023Re-release,1443314,8/16/23,'-
MaybeIDo,1293722,1/27/23,VerticalEntertainment
BillieEilishLiveattheO2,1290000,1/27/23,TrafalgarReleasing
TheFirstSlamDunk,1256517,7/28/23,GKIDS
Tár,6773650,10/7/23,FocusFeatures
TheLostKing,1188032,3/24/23,IFCFilms
TheLordoftheRings:TheReturnoftheKing20thAnniversary,1176085,4/13/23,FathomEvents
StrangeWorld,37968963,11/23/23,WaltDisneyStudiosMotionPictures
Close,1100113,1/27/23,A24
Emily,1097067,2/17/23,BleeckerStreetMedia
KnightsoftheZodiac,1090155,5/12/23,'-
Broker,1046899,12/23/23,Neon
ShowingUp,754483,4/7/23,A24
TheRoundup:NoWayOut,909411,6/2/23,CapelightPictures
Inside,897190,3/17/23,FocusFeatures
Fool'sParadise,855173,5/12/23,RoadsideAttractions
Paint,811739,4/7/23,IFCFilms
ReturntoSeoul,798774,2/17/23,SonyPicturesClassics
HiddenBlade,803189,2/17/23,WellGoUSAEntertainment
TheDevilConspiracy,765218,1/13/23,'-
RollwithIt,757981,5/9/23,FathomEvents
HowtoBlowUpaPipeline,750010,4/7/23,'-
RallyRoadRacers,744169,5/12/23,VivaPictures
ItAin'tOver,705355,5/12/23,SonyPicturesEntertainment(SPE)
Devotion,20511938,11/23/23,ColumbiaPictures
MasterGardener,667114,5/19/23,MagnoliaPictures
Shortcomings,653780,8/4/23,SonyPicturesClassics
Corsage,705767,12/23/23,IFCFilms
EO,1068782,11/18/23,SideshowReleasing
ShinUltraman,601490,1/11/23,FathomEvents
TheThorn,577004,3/6/23,FathomEvents
TheWay2023Re-release,567448,5/16/23,FathomEvents
OfanAge,556585,2/17/23,FocusFeatures
Sweetwater,541633,4/14/23,BriarcliffEntertainment
Aftersun,1658790,10/21/23,A24
Consecration,538551,2/10/23,IFCFilms
Sanctuary,535202,5/19/23,'-
Bottoms,533978,8/25/23,OrionPictures
TriangleofSadness,4608096,10/7/23,Neon
CrouchingTigerHiddenDragon2023Re-release,451549,2/17/23,SonyPicturesClassics
AFather'sHeart,447912,5/1/23,FathomEvents
TheSon,449650,1/20/23,SonyPicturesClassics
TheEssentialChurch,412550,7/28/23,AtlasDistributionCompany
MendingtheLine,379890,6/9/23,BlueFoxEntertainment
CatVideoFest2023,327584,8/4/23,Oscilloscope
GoWest,340017,7/19/23,PurdieDistribution
Terrifier,339946,7/19/23,'-
Selfiee,335775,2/24/23,'-
TurnEveryPage:TheAdventuresofRobertCaroandRobertGottlieb,335417,12/30/23,SonyPicturesEntertainment(SPE)
WildLife,326184,4/14/23,Picturehouse
ChildrenoftheCorn,325583,3/3/23,'-
WaltairVeerayya,320000,1/13/23,'-
TheLesson,310746,7/7/23,'-
Psycho-Pass:Providence,309757,7/14/23,Crunchyroll
UFC291:Poiriervs.Gaethje2,308825,7/29/23,'-
MirandoAlCielo,295539,4/18/23,FathomEvents
Joyland,302550,4/7/23,Oscilloscope
Passages,415827,8/4/23,MUBI
SouthernGospel,293496,3/10/23,'-
SchoolofMagicalAnimals,288414,3/24/23,BlueFoxEntertainment
Dreamin'Wild,276672,8/4/23,RoadsideAttractions
TheEightMountains,302456,4/28/23,VarianceFilms
EveryBody,273860,6/30/23,FocusFeatures
EmpireofLight,1177577,12/9/23,SearchlightPictures
BorntoFly,277011,4/28/23,WellGoUSAEntertainment
RRRFanCelebRRRation2023Re-release,256566,3/3/23,VarianceFilms
Malum,221738,3/31/23,'-
AlltheBeautyandtheBloodshed,500082,11/23/23,'-
SaintOmer,213953,1/13/23,Neon
Afire,204620,7/14/23,SideshowReleasing
OneFineMorning,214470,1/27/23,SonyPicturesEntertainment(SPE)
Lourdes2022Re-release,197702,2/8/23,FathomEvents
WhenYouFinishSavingtheWorld,196920,1/20/23,A24
LandscapewithInvisibleHand,193829,8/18/23,'-
LyleLyleCrocodile,46888441,10/7/23,SonyPicturesEntertainment(SPE)
TheConformist2023Re-release,180135,1/6/23,KinoLorber
Contempt4kRestoration-60thAnniversary,173816,6/30/23,RialtoPictures
TheWrathofBecky,168109,5/26/23,QuiverDistribution
TheStarlingGirl,161290,5/12/23,BleeckerStreetMedia
¡QuevivaMéxico!,161222,3/24/23,SonyPicturesEntertainment(SPE)
EnysMen,189579,3/31/23,'-